,action,destIP,srcIP
0,DENY,1.1.0.0-1.1.3.255,7.10.0.0-7.10.63.255
1,ALLOW,1.2.1.8-1.2.1.9,6.9.0.0-6.9.7.255
2,DENY,5.8.2.4-5.8.2.7,8.5.0.0-8.5.15.255
3,DENY,9.0.0.0-9.15.255.255,1.0.0.0-1.255.255.255
4,ALLOW,4.0.0.0-4.7.255.255,7.4.0.0-7.7.255.255
5,ALLOW,10.0.0.0-10.31.255.255,7.8.0.0-7.8.255.255
6,ALLOW,0.0.0.0-7.255.255.255,6.2.2.9
7,DENY,3.0.0.0-3.255.255.255,9.4.0.0-9.4.15.255
8,ALLOW,10.0.0.0-10.255.255.255,0.0.0.0-127.255.255.255
9,ALLOW,8.1.0.0-8.1.63.255,9.0.0.0-9.7.255.255
10,DENY,10.0.0.0-10.255.255.255,4.0.0.0-7.255.255.255
11,ALLOW,1.8.8.0-1.8.8.31,10.5.7.6
12,ALLOW,8.6.8.0-8.6.15.255,9.9.3.0-9.9.3.31
13,DENY,9.10.0.0-9.10.7.255,0.0.0.0-15.255.255.255
14,ALLOW,6.9.6.9,1.8.0.0-1.8.255.255
15,DENY,2.4.5.0-2.4.5.63,9.5.1.8-9.5.1.9
16,DENY,1.1.0.0-1.1.7.255,0.0.0.0-63.255.255.255
17,ALLOW,4.0.0.0-5.255.255.255,0.0.0.0-7.255.255.255
18,DENY,8.0.0.0-8.31.255.255,4.8.2.0-4.8.2.63
19,DENY,8.6.8.0-8.6.11.255,2.0.0.0-2.7.255.255
20,DENY,2.2.6.0-2.2.6.63,6.2.5.10
21,DENY,3.8.0.0-3.8.127.255,8.0.0.0-11.255.255.255
22,DENY,10.4.0.0-10.4.31.255,3.9.0.0-3.9.63.255
23,ALLOW,4.10.0.0-4.11.255.255,9.0.0.0-9.63.255.255
24,DENY,9.8.0.0-9.8.255.255,6.8.0.0-6.8.63.255
25,ALLOW,1.0.0.0-1.255.255.255,5.0.0.0-5.255.255.255
26,DENY,6.6.1.4-6.6.1.5,6.6.1.0-6.6.1.63
27,ALLOW,4.0.0.0-4.127.255.255,10.0.0.0-10.63.255.255
28,ALLOW,0.0.0.0-31.255.255.255,5.9.2.0-5.9.2.255
29,DENY,8.4.10.6-8.4.10.7,6.9.0.0-6.9.31.255
30,ALLOW,0.0.0.0-63.255.255.255,7.9.0.0-7.9.31.255
31,ALLOW,1.1.0.0-1.1.255.255,10.0.0.0-10.63.255.255
32,DENY,8.0.0.0-8.7.255.255,2.3.0.0-2.3.127.255
33,DENY,5.10.0.0-5.10.127.255,9.0.0.0-9.3.255.255
34,DENY,9.7.1.6-9.7.1.7,1.6.3.0-1.6.3.15
35,ALLOW,6.4.0.0-6.7.255.255,1.4.0.0-1.7.255.255
36,ALLOW,10.5.8.0-10.5.11.255,4.9.5.0-4.9.5.31
37,DENY,10.5.0.0-10.5.127.255,2.5.2.0-2.5.2.7
38,DENY,0.0.0.0-127.255.255.255,2.0.0.0-3.255.255.255
39,ALLOW,8.0.0.0-15.255.255.255,2.2.3.0-2.2.3.127
40,DENY,3.5.0.0-3.5.15.255,10.7.6.0-10.7.7.255
41,DENY,10.8.4.0-10.8.4.255,8.0.0.0-11.255.255.255
42,ALLOW,9.8.1.0-9.8.1.31,0.0.0.0-15.255.255.255
43,ALLOW,1.4.0.0-1.7.255.255,5.8.0.0-5.8.255.255
44,DENY,2.8.0.0-2.11.255.255,2.0.0.0-2.15.255.255
45,DENY,5.4.1.0-5.4.1.127,1.8.0.0-1.11.255.255
46,DENY,6.4.10.0-6.4.10.31,2.8.0.0-2.11.255.255
47,ALLOW,7.6.4.0-7.6.5.255,10.0.0.0-10.127.255.255
48,DENY,2.7.0.0-2.7.255.255,5.10.8.0-5.10.9.255
49,ALLOW,0.0.0.0-63.255.255.255,6.0.0.0-6.7.255.255
50,DENY,8.3.8.0-8.3.15.255,7.8.2.0-7.8.2.7
51,ALLOW,7.5.2.0-7.5.2.31,7.8.0.0-7.8.255.255
52,DENY,0.0.0.0-7.255.255.255,4.4.0.0-4.7.255.255
53,ALLOW,10.8.0.0-10.15.255.255,4.3.0.0-4.3.255.255
54,ALLOW,9.0.0.0-9.15.255.255,9.0.0.0-9.127.255.255
55,DENY,10.0.0.0-10.127.255.255,7.4.0.0-7.7.255.255
56,DENY,4.3.3.1,4.7.0.0-4.7.31.255
57,ALLOW,2.0.0.0-2.31.255.255,9.0.0.0-9.255.255.255
58,DENY,6.8.0.0-6.8.127.255,3.1.10.7
59,ALLOW,0.0.0.0-15.255.255.255,2.1.4.8-2.1.4.11
60,ALLOW,5.3.9.0-5.3.9.15,10.0.0.0-10.255.255.255
61,ALLOW,4.0.0.0-4.7.255.255,4.0.0.0-4.7.255.255
62,ALLOW,7.10.5.0-7.10.5.63,10.7.2.0-10.7.2.63
63,ALLOW,0.0.0.0-31.255.255.255,4.7.2.0-4.7.2.255
64,ALLOW,0.0.0.0-63.255.255.255,4.5.0.0-4.5.255.255
65,ALLOW,3.1.7.0-3.1.7.3,5.7.0.0-5.7.15.255
66,ALLOW,0.0.0.0-15.255.255.255,9.0.0.0-9.255.255.255
67,DENY,1.2.6.0-1.2.6.15,0.0.0.0-127.255.255.255
68,ALLOW,7.0.0.0-7.31.255.255,10.0.0.0-10.63.255.255
69,DENY,8.2.0.0-8.2.3.255,10.1.1.10
70,DENY,0.0.0.0-255.255.255.255,0.0.0.0-63.255.255.255
71,DENY,8.1.4.6-8.1.4.7,4.0.0.0-4.63.255.255
72,ALLOW,10.0.0.0-10.31.255.255,1.10.6.0-1.10.6.255
73,DENY,4.7.10.4-4.7.10.7,4.0.0.0-4.127.255.255
74,ALLOW,9.0.0.0-9.31.255.255,7.0.0.0-7.127.255.255
75,ALLOW,4.3.3.0-4.3.3.127,0.0.0.0-63.255.255.255
76,DENY,2.0.0.0-2.255.255.255,5.8.0.0-5.8.31.255
77,DENY,5.10.3.0-5.10.3.255,0.0.0.0-3.255.255.255
78,DENY,8.0.0.0-8.63.255.255,9.10.2.0-9.10.2.63
79,DENY,0.0.0.0-127.255.255.255,4.0.0.0-4.31.255.255
80,DENY,8.0.0.0-8.127.255.255,0.0.0.0-31.255.255.255
81,ALLOW,9.9.4.0-9.9.7.255,5.5.0.0-5.5.3.255
82,DENY,5.9.9.9,8.0.0.0-15.255.255.255
83,ALLOW,2.0.0.0-2.31.255.255,8.1.8.8-8.1.8.15
84,DENY,4.2.8.0-4.2.8.127,7.9.7.8-7.9.7.15
85,ALLOW,0.0.0.0-7.255.255.255,6.0.0.0-6.3.255.255
86,DENY,4.5.10.0-4.5.10.127,5.0.0.0-5.31.255.255
87,DENY,6.2.0.0-6.3.255.255,8.0.0.0-8.3.255.255
88,DENY,6.10.0.0-6.11.255.255,2.7.9.0-2.7.9.15
89,DENY,4.2.4.0-4.2.5.255,9.0.0.0-9.127.255.255
90,ALLOW,5.5.7.0-5.5.7.7,3.0.0.0-3.63.255.255
91,ALLOW,3.6.10.0-3.6.10.15,3.7.0.0-3.7.15.255
92,ALLOW,0.0.0.0-31.255.255.255,2.9.4.0-2.9.5.255
93,ALLOW,0.0.0.0-31.255.255.255,6.6.10.0-6.6.10.63
94,ALLOW,0.0.0.0-7.255.255.255,2.4.7.0-2.4.7.127
95,ALLOW,1.2.0.0-1.3.255.255,6.0.0.0-6.63.255.255
96,DENY,10.7.5.0-10.7.5.3,4.0.0.0-4.15.255.255
97,DENY,2.6.7.0-2.6.7.31,6.6.0.0-6.6.127.255
98,ALLOW,5.3.8.0-5.3.8.15,2.0.0.0-2.31.255.255
99,DENY,9.3.0.0-9.3.255.255,3.0.0.0-3.127.255.255
100,ALLOW,1.0.0.0-1.255.255.255,1.10.6.0-1.10.7.255
101,DENY,2.0.0.0-2.7.255.255,0.0.0.0-31.255.255.255
102,DENY,1.5.4.0-1.5.4.15,3.0.0.0-3.7.255.255
103,DENY,4.3.0.0-4.3.31.255,3.9.0.0-3.9.31.255
104,ALLOW,5.4.0.0-5.4.31.255,0.0.0.0-127.255.255.255
105,ALLOW,0.0.0.0-127.255.255.255,6.8.0.0-6.8.127.255
106,DENY,5.6.7.0-5.6.7.31,0.0.0.0-127.255.255.255
