,sourceIP,destIP,action
11,4.0.0.0/6,10.0.0.0/8,DENY
23,3.9.0.0/18,10.4.0.0/19,DENY
35,1.6.3.0/28,9.7.1.6/31,DENY
37,4.9.5.0/27,10.5.8.0/22,ALLOW
38,2.5.2.0/29,10.5.0.0/17,DENY
40,2.2.3.0/25,8.0.0.0/5,ALLOW
42,8.0.0.0/6,10.8.4.0/24,DENY
44,5.8.0.0/16,1.4.0.0/14,ALLOW
45,2.0.0.0/12,2.8.0.0/14,DENY
46,1.8.0.0/14,5.4.1.0/25,DENY
47,2.8.0.0/14,6.4.10.0/27,DENY
54,4.3.0.0/16,10.8.0.0/13,ALLOW
56,7.4.0.0/14,10.0.0.0/9,DENY
57,4.7.0.0/19,4.3.3.1,DENY
59,3.1.10.7,6.8.0.0/17,DENY
60,2.1.4.8/30,0.0.0.0/4,ALLOW
62,4.0.0.0/13,4.0.0.0/13,ALLOW
72,4.0.0.0/10,8.1.4.6/31,DENY
73,1.10.6.0/24,10.0.0.0/11,ALLOW
74,4.0.0.0/9,4.7.10.4/30,DENY
75,7.0.0.0/9,9.0.0.0/11,ALLOW
76,0.0.0.0/2,4.3.3.0/25,ALLOW
77,5.8.0.0/19,2.0.0.0/8,DENY
78,0.0.0.0/6,5.10.3.0/24,DENY
79,9.10.2.0/26,8.0.0.0/10,DENY
80,4.0.0.0/11,0.0.0.0/1,DENY
81,0.0.0.0/3,8.0.0.0/9,DENY
82,5.5.0.0/22,9.9.4.0/22,ALLOW
83,8.0.0.0/5,5.9.9.9,DENY
84,8.1.8.8/29,2.0.0.0/11,ALLOW
85,7.9.7.8/29,4.2.8.0/25,DENY
86,6.0.0.0/14,0.0.0.0/5,ALLOW
87,5.0.0.0/11,4.5.10.0/25,DENY
88,8.0.0.0/14,6.2.0.0/15,DENY
89,2.7.9.0/28,6.10.0.0/15,DENY
90,9.0.0.0/9,4.2.4.0/23,DENY
91,3.0.0.0/10,5.5.7.0/29,ALLOW
92,3.7.0.0/20,3.6.10.0/28,ALLOW
93,2.9.4.0/23,0.0.0.0/3,ALLOW
94,6.6.10.0/26,0.0.0.0/3,ALLOW
95,2.4.7.0/25,0.0.0.0/5,ALLOW
96,6.0.0.0/10,1.2.0.0/15,ALLOW
97,4.0.0.0/12,10.7.5.0/30,DENY
98,6.6.0.0/17,2.6.7.0/27,DENY
99,2.0.0.0/11,5.3.8.0/28,ALLOW
100,3.0.0.0/9,9.3.0.0/16,DENY
101,1.10.6.0/23,1.0.0.0/8,ALLOW
102,0.0.0.0/3,2.0.0.0/13,DENY
103,3.0.0.0/13,1.5.4.0/28,DENY
104,3.9.0.0/19,4.3.0.0/19,DENY
106,6.8.0.0/17,0.0.0.0/1,ALLOW
109,1.3.9.6,3.0.0.0/8,DENY
110,4.8.0.0/15,3.8.0.0/19,DENY
111,2.4.1.0/28,6.0.0.0/11,DENY
112,1.9.0.0/17,7.2.3.0/29,ALLOW
113,10.0.0.0/7,0.0.0.0/1,ALLOW
114,3.0.0.0/10,4.0.0.0/14,ALLOW
115,1.7.5.2/31,0.0.0.0/3,ALLOW
116,2.0.0.0/10,9.7.9.8,ALLOW
117,8.8.0.0/13,9.3.6.0/25,DENY
118,4.0.0.0/9,10.6.0.0/15,DENY
119,10.6.0.0/15,2.9.2.10/31,DENY
120,5.3.0.0/21,0.0.0.0/2,DENY
121,5.8.0.0/19,7.1.5.8/29,ALLOW
122,5.6.0.0/18,6.8.0.0/14,ALLOW
123,7.6.0.0/15,4.10.3.0/24,DENY
124,7.9.0.0/17,10.10.4.8/30,ALLOW
125,10.3.0.0/18,10.9.0.0/21,DENY
126,8.3.5.0/30,5.2.9.0/31,ALLOW
127,3.5.3.8/30,1.0.0.0/9,ALLOW
128,4.3.0.0/19,2.2.1.0/24,DENY
